Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Booster,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity,Date
2021.0,10.0,40.32916957999748,0.5023790594415494,1.17,7.8699750635410854,3.7247535570647576,0.0,2844.0,15790.0,164.85714285714286,93.37184115523466,6284.190476190475,1,2021-03-16
2021.0,10.0,40.198813278565375,0.5025288513201155,1.16,8.019954700680994,3.822407470484078,0.0,2849.0,18363.0,166.0,98.63898916967509,6442.285714285715,1,2021-03-17
2021.0,11.0,40.198813278565375,0.5028086911370722,1.14,8.162177745183302,3.9135991606327423,0.0,2887.0,16724.0,171.71428571428572,102.94584837545126,6621.238095238096,1,2021-03-18
2021.0,11.0,40.06845697713327,0.5031307638055847,1.13,8.356129852434073,4.015447745039549,0.0,2938.0,15708.0,175.0,106.76654632972323,6788.571428571428,1,2021-03-19
2021.0,11.0,39.93810067570116,0.5034950693256534,1.13,8.55756548369206,4.079686238128958,0.0,2945.0,13217.0,177.57142857142858,110.06498194945848,6973.047619047618,1,2021-03-20
2021.0,11.0,39.807744374269056,0.503901607697278,1.13,8.709847558534877,4.125786718844028,0.0,3044.0,5958.0,182.0,111.41034897713598,7144.0,1,2021-03-21
2021.0,11.0,39.67738807283695,0.5043503789204585,1.14,8.94229151616064,4.218081510023814,0.0,3139.0,8880.0,184.0,113.88688327316486,7310.380952380953,1,2021-03-22
2021.0,11.0,39.54703177140484,0.5048413829951951,1.13,9.203672327988867,4.319590863797277,0.0,3156.0,19454.0,189.85714285714286,118.29602888086643,7471.238095238096,1,2021-03-23
2021.0,11.0,39.41667546997274,0.5053746199214878,1.12,9.505254375759398,4.427483046437847,0.0,3196.0,22652.0,196.71428571428572,123.45728038507822,7629.809523809524,1,2021-03-24
2021.0,12.0,39.27381832711559,0.5059500896993363,1.1,9.80905826388378,4.5253655195037465,0.0,3249.0,21888.0,199.28571428571428,129.67148014440434,7807.619047619048,1,2021-03-25
2021.0,12.0,39.151816681426624,0.5065231594129005,1.06,10.1535746397915,4.632498643528571,0.0,3322.0,20036.0,207.85714285714286,134.87966305655837,8001.428571428572,1,2021-03-26
2021.0,12.0,39.0381696914808,0.5070938290621804,1.03,10.417544190353617,4.707662287724476,0.0,3379.0,15777.0,215.28571428571428,137.96028880866427,8190.857142857142,1,2021-03-27
